tipo_combo,internet,precio_lista_internet,precio_combo_internet,telefonia,precio_lista_telefonia,precio_combo_telefonia,flow,precio_lista_flow,precio_combo_flow,total_precio_lista,total_precio_combo,masiva,portin,zona_claro
Combo Telefonia,200,299000,254150,17,450000,225000,false,0,0,749000,479150,false,true,false
Combo Telefonia,200,299000,254150,20,550000,275000,false,0,0,849000,529150,false,true,false
Combo Telefonia,50,130000,65000,2,95000,80750,false,0,0,225000,145750,false,false,true
Combo Telefonia,50,130000,65000,3,120000,102000,false,0,0,250000,167000,false,false,true
Combo Telefonia,50,130000,65000,5,150000,127500,false,0,0,280000,192500,false,false,true
Combo Telefonia,50,130000,65000,7,185000,157250,false,0,0,315000,222250,false,false,true
Combo Telefonia,50,130000,65000,10,255000,216750,false,0,0,385000,281750,false,false,true
Combo Telefonia,50,130000,65000,15,350000,297500,false,0,0,480000,362500,false,false,true
Combo Telefonia,50,130000,65000,17,450000,382500,false,0,0,580000,447500,false,false,true
Combo Telefonia,50,130000,65000,20,550000,467500,false,0,0,680000,532500,false,false,true
Combo Telefonia,100,199000,99500,2,95000,80750,false,0,0,294000,180250,false,false,true
Combo Telefonia,100,199000,99500,3,120000,102000,false,0,0,319000,201500,false,false,true
Combo Telefonia,100,199000,99500,5,150000,127500,false,0,0,349000,227000,false,false,true
Combo Telefonia,100,199000,99500,7,185000,157250,false,0,0,384000,256750,false,false,true
Combo Telefonia,100,199000,99500,10,255000,216750,false,0,0,454000,316250,false,false,true
Combo Telefonia,100,199000,99500,15,350000,297500,false,0,0,549000,397000,false,false,true
Combo Telefonia,100,199000,99500,17,450000,382500,false,0,0,649000,482000,false,false,true
Combo Telefonia,100,199000,99500,20,550000,467500,false,0,0,749000,567000,false,false,true
Combo Telefonia,150,249000,124500,2,95000,80750,false,0,0,344000,205250,false,false,true
Combo Telefonia,150,249000,124500,3,120000,102000,false,0,0,369000,226500,false,false,true
Combo Telefonia,150,249000,124500,5,150000,127500,false,0,0,399000,252000,false,false,true
Combo Telefonia,150,249000,124500,7,185000,157250,false,0,0,434000,281750,false,false,true
Combo Telefonia,150,249000,124500,10,255000,216750,false,0,0,504000,341250,false,false,true
Combo Telefonia,150,249000,124500,15,350000,297500,false,0,0,599000,422000,false,false,true
Combo Telefonia,150,249000,124500,17,450000,382500,false,0,0,699000,507000,false,false,true
Combo Telefonia,150,249000,124500,20,550000,467500,false,0,0,799000,592000,false,false,true
Combo Telefonia,200,299000,149500,2,95000,80750,false,0,0,394000,230250,false,false,true
Combo Telefonia,200,299000,149500,3,120000,102000,false,0,0,419000,251500,false,false,true
Combo Telefonia,200,299000,149500,5,150000,127500,false,0,0,449000,277000,false,false,true
Combo Telefonia,200,299000,149500,7,185000,157250,false,0,0,484000,306750,false,false,true
Combo Telefonia,200,299000,149500,10,255000,216750,false,0,0,554000,366250,false,false,true
Combo Telefonia,200,299000,149500,15,350000,297500,false,0,0,649000,447000,false,false,true
Combo Telefonia,200,299000,149500,17,450000,382500,false,0,0,749000,532000,false,false,true
Combo Telefonia,200,299000,149500,20,550000,467500,false,0,0,849000,617000,false,false,true
Combo Telefonia,50,130000,65000,2,95000,47500,false,0,0,225000,112500,false,true,true
